Point,X,Y,H
L1,3.1374,4.3246,204.9754
L2,9.0888,-4.5555,204.8903
L3,8.2731,2.2478,205.0730
L4,13.5552,3.3260,204.7818
L5,17.6623,-2.7646,204.8333
L6,23.8746,-2.3014,204.4606
L7,27.7097,2.7192,204.8636
L8,28.3320,8.6813,204.9092
L9,25.8693,7.3461,204.4087
L10,18.6570,4.5163,204.9570
L11,14.9031,6.1368,204.9864
L12,13.2623,11.3769,204.9394
L13,10.0015,5.6827,205.1797
L14,8.0354,12.9120,204.9494
L15,2.7876,13.5601,205.0208
S1,0.0000,0.0000,204.6042
S2,0.0393,7.1697,204.5313
S3,3.8015,-9.1614,204.4902
S4,18.6625,10.8159,204.8022
S5,37.3445,10.4773,204.6558
S6,23.7990,-8.1839,204.3533
S7,13.0403,-3.3190,204.8725
S8,21.8293,2.3056,204.5732
W1,15.1159,-3.0854,204.7734
W2,6.8073,10.3746,204.6592
W3,12.3282,6.7797,204.6860
W4,19.7272,5.2386,204.6205
W5,25.2349,2.0235,204.7558
W6,10.0126,0.0000,204.6875
W7,20.1270,0.0000,204.5407
W8,24.4818,7.9578,204.1249
W9,17.9612,2.8924,205.2192
